SampleID,Name,Time,Date,Latitude (decimal degrees),Longitude (decimal degrees),Salinity (psu),temperature(C),Pressure (dbars),Total P (micromol/kgSW),Total Si (micromol/kgSW),TA (micromol/kgSW),TCO2 (micromol/kgSW),pH,fCO2 (microatm),pCO2 (microatm),HCO3 (micromol/kgSW),CO3 (micromol/kgSW),CO2 (micromol/kgSW),B Alk (micromol/kgSW),OH (micromol/kgSW),P Alk (micromol/kgSW),Si Alk (micromol/kgSW),Revelle,O Ca,O Ar ,xCO2  (dry at 1 atm) (ppm),t(C) adjusted,P (dbars) adjusted,pH adjusted,fCO2 adjusted (microatm),pCO2 adjusted(microatm),HCO3 adjusted(micromol/kgSW),CO3 adjusted (micromol/kgSW),CO2 adjusted(micromol/kgSW),B Alk adjusted(micromol/kgSW),OH adjusted (micromol/kgSW),P Alk adjusted(micromol/kgSW),Si Alk adjusted (micromol/kgSW),Revelle adjusted,O Ca adjusted,O Ar adjusted,xCO2 out (dry at 1 atm) (ppm),pCO2_air (microatm),Windspeed,CO2 Flux (mmol/m2/d),CO2 Flux adjusted (mmol/m2/d),Whose K1/K2,Whose KHSO4,Which pH Scale,Whose Boron,Whose Air-sea Flux,Windspeed Units,Comment
 128,"8","","23-Aug-13",,,24.600,16.200,10.133,0.000,0.000,1836.878,1742.198,8.025,517.927,519.776,1644.002,78.368,19.828,34.434,1.717,0.000,0.000,15.494,1.992,1.242,529.258,16.200,10.133,8.025,517.927,519.776,1644.002,78.368,19.828,34.434,1.717,0.000,0.000,15.494,1.992,1.242,529.258,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 129,"9","","23-Aug-13",,,24.400,16.200,10.133,0.000,0.000,1843.410,1730.122,8.090,441.169,442.744,1623.785,89.429,16.909,38.792,1.985,0.000,0.000,14.514,2.276,1.417,450.822,16.200,10.133,8.090,441.169,442.744,1623.785,89.429,16.909,38.792,1.985,0.000,0.000,14.514,2.276,1.417,450.822,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 130,"10","","23-Aug-13",,,24.400,16.100,10.133,0.000,0.000,1828.029,1674.717,8.215,315.297,316.424,1549.203,113.393,12.121,49.422,2.623,0.000,0.000,12.546,2.886,1.796,322.160,16.100,10.133,8.215,315.297,316.424,1549.203,113.393,12.121,49.422,2.623,0.000,0.000,12.546,2.886,1.796,322.160,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 131,"11","","23-Aug-13",,,24.500,16.100,10.133,0.000,0.000,1829.307,1668.178,8.235,298.776,299.844,1538.473,118.226,11.479,51.635,2.753,0.000,0.000,12.226,3.007,1.872,305.279,16.100,10.133,8.235,298.776,299.844,1538.473,118.226,11.479,51.635,2.753,0.000,0.000,12.226,3.007,1.872,305.279,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 132,"12","","23-Aug-13",,,24.500,16.100,10.133,0.000,0.000,1833.204,1740.847,8.020,523.705,525.577,1643.732,76.994,20.121,33.816,1.678,0.000,0.000,15.628,1.958,1.219,535.104,16.100,10.133,8.020,523.705,525.577,1643.732,76.994,20.121,33.816,1.678,0.000,0.000,15.628,1.958,1.219,535.104,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 133,"13","","23-Aug-13",,,24.600,16.000,10.133,0.000,0.000,1740.535,1691.398,7.860,740.385,743.034,1610.724,52.158,28.516,24.355,1.153,0.000,0.000,17.736,1.326,0.826,756.414,16.000,10.133,7.860,740.385,743.034,1610.724,52.158,28.516,24.355,1.153,0.000,0.000,17.736,1.326,0.826,756.414,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 134,"14","","23-Aug-13",,,24.500,16.000,10.133,0.000,0.000,1839.515,1687.243,8.210,320.964,322.112,1561.942,112.933,12.369,49.139,2.576,0.000,0.000,12.633,2.872,1.788,327.913,16.000,10.133,8.210,320.964,322.112,1561.942,112.933,12.369,49.139,2.576,0.000,0.000,12.633,2.872,1.788,327.913,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 135,"15","","23-Aug-13",,,24.500,16.100,10.133,0.000,0.000,1804.280,1813.515,7.605,1431.043,1436.158,1727.415,31.119,54.982,14.007,0.645,0.000,0.000,18.687,0.791,0.493,1462.189,16.100,10.133,7.605,1431.043,1436.158,1727.415,31.119,54.982,14.007,0.645,0.000,0.000,18.687,0.791,0.493,1462.189,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 136,"16","","23-Aug-13",,,24.500,16.100,10.133,0.000,0.000,1833.587,1682.935,8.205,324.351,325.510,1558.688,111.785,12.462,48.766,2.570,0.000,0.000,12.675,2.843,1.770,331.410,16.100,10.133,8.205,324.351,325.510,1558.688,111.785,12.462,48.766,2.570,0.000,0.000,12.675,2.843,1.770,331.410,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 137,"17","","23-Aug-13",,,24.500,16.100,10.133,0.000,0.000,1823.492,1768.314,7.880,740.087,742.732,1682.777,57.102,28.435,25.308,1.216,0.000,0.000,17.680,1.452,0.904,756.194,16.100,10.133,7.880,740.087,742.732,1682.777,57.102,28.435,25.308,1.216,0.000,0.000,17.680,1.452,0.904,756.194,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 138,"18","","23-Aug-13",,,24.500,16.100,10.133,0.000,0.000,1824.576,1676.171,8.200,327.009,328.177,1553.471,110.136,12.564,48.300,2.540,0.000,0.000,12.734,2.801,1.744,334.126,16.100,10.133,8.200,327.009,328.177,1553.471,110.136,12.564,48.300,2.540,0.000,0.000,12.734,2.801,1.744,334.126,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 139,"19","","23-Aug-13",,,24.400,16.100,10.133,0.000,0.000,1827.033,1679.036,8.200,327.890,329.061,1556.380,110.051,12.605,48.022,2.534,0.000,0.000,12.769,2.801,1.743,335.026,16.100,10.133,8.200,327.890,329.061,1556.380,110.051,12.605,48.022,2.534,0.000,0.000,12.769,2.801,1.743,335.026,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 140,"20","","23-Aug-13",,,24.300,16.200,10.133,0.000,0.000,1803.469,1793.407,7.690,1168.763,1172.935,1711.168,37.419,44.820,16.696,0.788,0.000,0.000,19.000,0.953,0.593,1194.336,16.200,10.133,7.690,1168.763,1172.935,1711.168,37.419,44.820,16.696,0.788,0.000,0.000,19.000,0.953,0.593,1194.336,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 141,"21","","23-Aug-13",,,24.400,16.100,10.133,0.000,0.000,1838.979,1720.083,8.110,417.656,419.148,1611.411,92.616,16.056,40.284,2.060,0.000,0.000,14.206,2.357,1.467,426.746,16.100,10.133,8.110,417.656,419.148,1611.411,92.616,16.056,40.284,2.060,0.000,0.000,14.206,2.357,1.467,426.746,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 142,"22","","23-Aug-13",,,24.400,16.500,10.133,0.000,0.000,1820.954,1678.320,8.180,345.289,346.517,1558.529,106.675,13.115,46.573,2.509,0.000,0.000,12.970,2.717,1.693,352.964,16.500,10.133,8.180,345.289,346.517,1558.529,106.675,13.115,46.573,2.509,0.000,0.000,12.970,2.717,1.693,352.964,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 143,"23","","23-Aug-13",,,24.300,16.300,10.133,0.000,0.000,1819.322,1671.361,8.200,327.276,328.443,1548.875,109.973,12.513,47.933,2.574,0.000,0.000,12.739,2.802,1.744,334.475,16.300,10.133,8.200,327.276,328.443,1548.875,109.973,12.513,47.933,2.574,0.000,0.000,12.739,2.802,1.744,334.475,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 144,"24","","23-Aug-13",,,24.200,16.200,10.133,0.000,0.000,1820.054,1770.524,7.860,779.307,782.089,1686.227,54.396,29.901,23.886,1.163,0.000,0.000,17.991,1.386,0.862,796.359,16.200,10.133,7.860,779.307,782.089,1686.227,54.396,29.901,23.886,1.163,0.000,0.000,17.991,1.386,0.862,796.359,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 145,"1","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1825.322,1751.392,7.955,617.435,619.637,1660.868,66.905,23.620,29.196,1.461,0.000,0.000,16.687,1.706,1.061,631.017,16.300,10.133,7.955,617.435,619.637,1660.868,66.905,23.620,29.196,1.461,0.000,0.000,16.687,1.706,1.061,631.017,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 146,"2","","30-Aug-13",,,24.300,16.300,10.133,0.000,0.000,1828.157,1766.701,7.905,699.960,702.455,1679.483,60.457,26.762,26.469,1.305,0.000,0.000,17.381,1.540,0.959,715.356,16.300,10.133,7.905,699.960,702.455,1679.483,60.457,26.762,26.469,1.305,0.000,0.000,17.381,1.540,0.959,715.356,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 147,"3","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1789.359,1796.328,7.615,1392.032,1396.995,1711.563,31.515,53.251,14.124,0.668,0.000,0.000,18.764,0.803,0.500,1422.652,16.300,10.133,7.615,1392.032,1396.995,1711.563,31.515,53.251,14.124,0.668,0.000,0.000,18.764,0.803,0.500,1422.652,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 148,"4","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1778.437,1693.771,8.000,536.821,538.735,1601.671,71.564,20.536,32.028,1.620,0.000,0.000,15.887,1.824,1.135,548.629,16.300,10.133,8.000,536.821,538.735,1601.671,71.564,20.536,32.028,1.620,0.000,0.000,15.887,1.824,1.135,548.629,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 149,"5","","30-Aug-13",,,24.100,16.400,10.133,0.000,0.000,1802.204,1719.599,7.990,559.128,561.118,1627.162,71.100,21.337,31.258,1.593,0.000,0.000,16.105,1.814,1.128,571.492,16.400,10.133,7.990,559.128,561.118,1627.162,71.100,21.337,31.258,1.593,0.000,0.000,16.105,1.814,1.128,571.492,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 150,"6","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1792.761,1778.119,7.710,1108.897,1112.850,1696.816,38.883,42.420,17.369,0.831,0.000,0.000,18.975,0.991,0.617,1133.289,16.300,10.133,7.710,1108.897,1112.850,1696.816,38.883,42.420,17.369,0.831,0.000,0.000,18.975,0.991,0.617,1133.289,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 151,"7","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1807.716,1722.193,8.000,545.830,547.775,1628.548,72.765,20.880,32.028,1.620,0.000,0.000,15.949,1.855,1.154,557.836,16.300,10.133,8.000,545.830,547.775,1628.548,72.765,20.880,32.028,1.620,0.000,0.000,15.949,1.855,1.154,557.836,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 153,"9","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1795.754,1832.635,7.490,1883.466,1890.181,1736.606,23.979,72.051,10.723,0.501,0.000,0.000,17.442,0.611,0.380,1924.895,16.300,10.133,7.490,1883.466,1890.181,1736.606,23.979,72.051,10.723,0.501,0.000,0.000,17.442,0.611,0.380,1924.895,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 154,"10","","30-Aug-13",,,24.100,16.300,10.133,0.000,0.000,1825.138,1751.586,7.955,618.067,620.270,1661.188,66.741,23.657,29.023,1.457,0.000,0.000,16.722,1.702,1.058,631.663,16.300,10.133,7.955,618.067,620.270,1661.188,66.741,23.657,29.023,1.457,0.000,0.000,16.722,1.702,1.058,631.663,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 155,"11","","30-Aug-13",,,24.400,16.400,10.133,0.000,0.000,1808.198,1713.134,8.030,505.135,506.933,1615.856,78.034,19.244,34.523,1.760,0.000,0.000,15.372,1.987,1.238,516.303,16.400,10.133,8.030,505.135,506.933,1615.856,78.034,19.244,34.523,1.760,0.000,0.000,15.372,1.987,1.238,516.303,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 156,"12","","30-Aug-13",,,24.400,16.300,10.133,0.000,0.000,1830.994,1865.817,7.500,1872.003,1878.677,1769.155,25.129,71.533,11.097,0.515,0.000,0.000,17.613,0.640,0.398,1913.176,16.300,10.133,7.500,1872.003,1878.677,1769.155,25.129,71.533,11.097,0.515,0.000,0.000,17.613,0.640,0.398,1913.176,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 157,"13","","30-Aug-13",,,24.300,16.200,10.133,0.000,0.000,1815.245,1828.387,7.590,1496.822,1502.165,1740.750,30.237,57.400,13.422,0.626,0.000,0.000,18.613,0.770,0.479,1529.573,16.200,10.133,7.590,1496.822,1502.165,1740.750,30.237,57.400,13.422,0.626,0.000,0.000,18.613,0.770,0.479,1529.573,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 158,"14","","30-Aug-13",,,24.300,16.300,10.133,0.000,0.000,1813.190,1736.542,7.965,597.372,599.502,1645.686,68.017,22.839,29.983,1.498,0.000,0.000,16.474,1.733,1.078,610.511,16.300,10.133,7.965,597.372,599.502,1645.686,68.017,22.839,29.983,1.498,0.000,0.000,16.474,1.733,1.078,610.511,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 159,"15","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1761.073,1756.437,7.665,1214.414,1218.743,1675.368,34.612,46.457,15.753,0.749,0.000,0.000,18.917,0.882,0.549,1241.126,16.300,10.133,7.665,1214.414,1218.743,1675.368,34.612,46.457,15.753,0.749,0.000,0.000,18.917,0.882,0.549,1241.126,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 160,"16","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1808.874,1736.644,7.950,619.500,621.708,1647.346,65.600,23.699,28.896,1.444,0.000,0.000,16.728,1.672,1.040,633.127,16.300,10.133,7.950,619.500,621.708,1647.346,65.600,23.699,28.896,1.444,0.000,0.000,16.728,1.672,1.040,633.127,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 161,"17","","30-Aug-13",,,24.200,16.300,10.133,0.000,0.000,1811.730,1803.998,7.680,1205.201,1209.498,1721.088,36.806,46.104,16.275,0.775,0.000,0.000,19.021,0.938,0.584,1231.711,16.300,10.133,7.680,1205.201,1209.498,1721.088,36.806,46.104,16.275,0.775,0.000,0.000,19.021,0.938,0.584,1231.711,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 162,"18","","30-Aug-13",,,24.000,16.300,10.133,0.000,0.000,1793.133,1729.628,7.920,663.346,665.711,1643.469,60.755,25.404,26.826,1.341,0.000,0.000,17.202,1.551,0.964,677.938,16.300,10.133,7.920,663.346,665.711,1643.469,60.755,25.404,26.826,1.341,0.000,0.000,17.202,1.551,0.964,677.938,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 163,"19","","30-Aug-13",,,24.100,16.200,10.133,0.000,0.000,1804.729,1731.997,7.955,610.565,612.745,1642.779,65.778,23.440,28.961,1.444,0.000,0.000,16.705,1.677,1.043,623.926,16.200,10.133,7.955,610.565,612.745,1642.779,65.778,23.440,28.961,1.444,0.000,0.000,16.705,1.677,1.043,623.926,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 164,"20","","30-Aug-13",,,24.100,16.300,10.133,0.000,0.000,1785.317,1800.567,7.580,1511.966,1517.356,1713.662,29.033,57.871,13.001,0.614,0.000,0.000,18.511,0.741,0.460,1545.225,16.300,10.133,7.580,1511.966,1517.356,1713.662,29.033,57.871,13.001,0.614,0.000,0.000,18.511,0.741,0.460,1545.225,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 165,"21","","30-Aug-13",,,24.300,16.300,10.133,0.000,0.000,1819.904,1764.842,7.880,741.409,744.052,1679.423,57.073,28.346,25.117,1.232,0.000,0.000,17.692,1.454,0.905,757.717,16.300,10.133,7.880,741.409,744.052,1679.423,57.073,28.346,25.117,1.232,0.000,0.000,17.692,1.454,0.905,757.717,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 166,"22","","30-Aug-13",,,24.300,16.500,10.133,0.000,0.000,1811.339,1731.395,7.975,582.801,584.873,1639.439,69.807,22.149,30.736,1.561,0.000,0.000,16.264,1.779,1.108,595.755,16.500,10.133,7.975,582.801,584.873,1639.439,69.807,22.149,30.736,1.561,0.000,0.000,16.264,1.779,1.108,595.755,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 167,"23","","30-Aug-13",,,24.200,16.500,10.133,0.000,0.000,1797.914,1713.339,7.995,550.544,552.502,1620.349,72.055,20.935,31.835,1.631,0.000,0.000,15.956,1.838,1.144,562.781,16.500,10.133,7.995,550.544,552.502,1620.349,72.055,20.935,31.835,1.631,0.000,0.000,15.956,1.838,1.144,562.781,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 168,"24","","30-Aug-13",,,24.200,16.800,10.133,0.000,0.000,1797.057,1822.892,7.530,1721.692,1727.791,1731.348,26.658,64.886,11.848,0.574,0.000,0.000,18.001,0.680,0.424,1760.568,16.800,10.133,7.530,1721.692,1727.791,1731.348,26.658,64.886,11.848,0.574,0.000,0.000,18.001,0.680,0.424,1760.568,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 169,"1","","5-Sep-13",,,23.400,17.200,10.133,0.000,0.000,1760.467,1655.556,8.075,445.874,447.445,1555.523,83.354,16.679,36.199,2.046,0.000,0.000,14.679,2.140,1.329,456.160,17.200,10.133,8.075,445.874,447.445,1555.523,83.354,16.679,36.199,2.046,0.000,0.000,14.679,2.140,1.329,456.160,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 170,"2","","5-Sep-13",,,23.400,17.100,10.133,0.000,0.000,1725.431,1699.769,7.760,959.146,962.531,1621.845,41.937,35.986,18.748,0.982,0.000,0.000,18.747,1.076,0.668,981.157,17.100,10.133,7.760,959.146,962.531,1621.845,41.937,35.986,18.748,0.982,0.000,0.000,18.747,1.076,0.668,981.157,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 171,"3","","5-Sep-13",,,23.600,16.900,10.133,0.000,0.000,1730.635,1744.737,7.580,1480.726,1485.965,1660.583,28.330,55.824,12.778,0.640,0.000,0.000,18.488,0.726,0.451,1514.347,16.900,10.133,7.580,1480.726,1485.965,1660.583,28.330,55.824,12.778,0.640,0.000,0.000,18.488,0.726,0.451,1514.347,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 172,"4","","5-Sep-13",,,23.200,17.100,10.133,0.000,0.000,1754.104,1654.974,8.060,462.485,464.117,1557.670,79.933,17.371,34.628,1.949,0.000,0.000,15.007,2.054,1.274,473.099,17.100,10.133,8.060,462.485,464.117,1557.670,79.933,17.371,34.628,1.949,0.000,0.000,15.007,2.054,1.274,473.099,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 173,"5","","5-Sep-13",,,23.200,17.000,10.133,0.000,0.000,1756.518,1664.620,8.035,493.313,495.056,1570.222,75.814,18.584,32.855,1.823,0.000,0.000,15.447,1.948,1.207,504.576,17.000,10.133,8.035,493.313,495.056,1570.222,75.814,18.584,32.855,1.823,0.000,0.000,15.447,1.948,1.207,504.576,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 174,"6","","5-Sep-13",,,23.300,17.100,10.133,0.000,0.000,1740.945,1693.955,7.855,767.330,770.038,1613.370,51.779,28.805,22.812,1.219,0.000,0.000,17.977,1.330,0.825,784.939,17.100,10.133,7.855,767.330,770.038,1613.370,51.779,28.805,22.812,1.219,0.000,0.000,17.977,1.330,0.825,784.939,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 175,"7","","5-Sep-13",,,23.400,16.800,10.133,0.000,0.000,1752.375,1668.584,8.005,529.032,530.906,1577.570,70.988,20.026,31.160,1.680,0.000,0.000,15.905,1.821,1.129,540.982,16.800,10.133,8.005,529.032,530.906,1577.570,70.988,20.026,31.160,1.680,0.000,0.000,15.905,1.821,1.129,540.982,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 176,"8","","5-Sep-13",,,23.200,17.000,10.133,0.000,0.000,1691.397,1779.131,7.290,2891.825,2902.043,1655.808,14.381,108.941,6.551,0.328,0.000,0.000,13.745,0.369,0.229,2957.845,17.000,10.133,7.290,2891.825,2902.043,1655.808,14.381,108.941,6.551,0.328,0.000,0.000,13.745,0.369,0.229,2957.845,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 177,"9","","5-Sep-13",,,23.400,17.000,10.133,0.000,0.000,1702.986,1748.406,7.445,2015.628,2022.751,1651.945,20.612,75.849,9.383,0.471,0.000,0.000,16.712,0.529,0.328,2061.641,17.000,10.133,7.445,2015.628,2022.751,1651.945,20.612,75.849,9.383,0.471,0.000,0.000,16.712,0.529,0.328,2061.641,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 178,"10","","5-Sep-13",,,23.400,17.000,10.133,0.000,0.000,1744.162,1663.884,7.990,547.674,549.610,1574.373,68.902,20.609,30.343,1.652,0.000,0.000,16.074,1.768,1.097,560.177,17.000,10.133,7.990,547.674,549.610,1574.373,68.902,20.609,30.343,1.652,0.000,0.000,16.074,1.768,1.097,560.177,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 179,"11","","5-Sep-13",,,23.000,17.100,10.133,0.000,0.000,1757.400,1656.190,8.070,452.781,454.379,1557.804,81.361,17.026,34.899,1.984,0.000,0.000,14.919,2.094,1.297,463.174,17.100,10.133,8.070,452.781,454.379,1557.804,81.361,17.026,34.899,1.984,0.000,0.000,14.919,2.094,1.297,463.174,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 180,"12","","5-Sep-13",,,23.400,17.000,10.133,0.000,0.000,1692.108,1801.947,7.220,3403.467,3415.494,1661.524,12.349,128.074,5.667,0.281,0.000,0.000,12.355,0.317,0.197,3481.161,17.000,10.133,7.220,3403.467,3415.494,1661.524,12.349,128.074,5.667,0.281,0.000,0.000,12.355,0.317,0.197,3481.161,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
 181,"13","","5-Sep-13",,,23.500,16.900,10.133,0.000,0.000,1690.831,1747.251,7.400,2221.951,2229.812,1644.944,18.492,83.815,8.522,0.422,0.000,0.000,15.900,0.474,0.294,2272.404,16.900,10.133,7.400,2221.951,2229.812,1644.944,18.492,83.815,8.522,0.422,0.000,0.000,15.900,0.474,0.294,2272.404,0.000,0.000,0.000,0.000,"Millero, 2006","Dickson, 1990","NBS scale (mol/kg-H2O)","Uppstrom, 1974","Wanninkhof, 1992","m/sec",""
